column,table,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
driver_wage,securecare_profit_base,37.0,540.5405405405405,836.4805435272833,0.0,72.0,200.0,200.0,200.0,1000.0,1000.0,3560.0000000000023,5000.0
total_cost_check,securecare_profit_base,42.0,1945.9780952380952,3286.988836904949,0.0,0.0,0.0,762.875,794.635,3126.7375,4130.009499999999,14045.16509999994,20441.94
source_row,securecare_profit_base,42.0,36.5,19.1212434538006,6.0,6.41,8.05,20.25,36.5,52.75,64.94999999999999,66.59,67.0
date,vehicle_day_base,772.0,46036.7189119171,9.745530345746085,46020.0,46020.0,46021.0,46029.0,46037.0,46045.0,46051.0,46052.0,46053.0
vehicle,vehicle_day_base,772.0,120.96243523316062,35.16505293083951,101.0,101.0,102.0,110.0,120.0,129.0,136.0,137.0,777.0
mileage,vehicle_day_base,772.0,191.37694300518135,88.48650530297516,21.0,36.13,76.0,133.0,171.0,235.25,363.89999999999986,477.6099999999997,544.0
road_time,vehicle_day_base,772.0,8.663175374208405,2.046981965506084,0.0,0.0,5.792402777777777,8.0,8.50361111111111,9.785833333333333,11.687208333333324,13.406980555555554,16.215
kent_legs,vehicle_day_base,772.0,6.7754071058475205,2.663867326891179,1.0,1.0,2.8939285714285723,5.0,6.921904761904762,8.64988095238095,11.126880952380949,13.00524761904762,18.61095238095238
revenue,vehicle_day_base,772.0,527.1859067357514,304.921470892489,41.0,94.13,183.28250000000003,369.9475,476.0,601.4324999999999,1106.343999999999,1787.2076999999979,3084.0
total_revenue,weekly_margin_base,42.0,39645.614285714284,66754.4158123003,2268.69,2329.7554000000005,2568.8925,14235.36,17951.184999999998,46115.4875,94636.03649999997,284787.7556999988,416278.95
total_cost,weekly_margin_base,42.0,35056.68880952381,59112.158217474615,948.24,1007.1406000000001,1112.756,13986.48,15100.555,52729.8325,77139.9925,249421.25089999888,368955.73
profit_margin,weekly_margin_base,42.0,0.10561458243838238,0.4481424296590071,-2.3724540537343004,-1.536114769641713,-0.24876623657960178,0.05115308195457128,0.13974170575836514,0.2175522102301915,0.6041475948394871,0.6416417532765455,0.6651719862462132
dollar_profit,weekly_margin_base,42.0,4588.925476190476,8827.08698627135,-10313.730000000003,-8716.066600000002,-3163.5590000000016,917.8199999999979,2889.0499999999993,4960.127499999998,18109.768499999995,36067.42439999991,47323.22000000003
fixed_overhead_cost,weekly_margin_base,37.0,11509.081081081082,17810.564686877995,0.0,1380.6,4187.8,4276.0,4276.0,20939.0,21380.0,75830.56000000006,106459.0
fixed_operating_cost,weekly_margin_base,42.0,8904.761904761905,14983.412818781493,250.0,250.0,250.0,3690.0,3690.0,14760.0,18700.0,62831.99999999972,93500.0
gas,weekly_margin_base,42.0,2650.120476190476,4526.5541529630555,102.7,105.7914,131.9265,926.4425,1164.335,3441.4825,5976.9625,19380.581899999917,28399.93
driver_wage,weekly_margin_base,42.0,13390.171428571428,22535.935187382292,588.0,643.104,735.21,5159.175,5982.9,17299.275,30853.709999999995,95740.54499999959,140596.8
total_cost_check,weekly_margin_base,42.0,35084.00619047619,59102.89038502427,948.24,1007.1406000000001,1112.756,13986.48,15100.555,52729.8325,77139.9925,249421.25089999888,368955.73
capx,weekly_margin_base,27.0,3385.5555555555557,6440.717759412398,0.0,0.0,0.0,831.0,831.0,4155.0,6648.0,26326.079999999958,33240.0
post_capx_margin,weekly_margin_base,42.0,0.06286867378208259,0.4935626903173981,-2.6796867779014266,-1.7528530450721223,-0.32992707035383056,0.002375685479425861,0.11059138945208265,0.2042806940817926,0.602785449372059,0.6416417532765455,0.6651719862462132
overhead_balance_total_revenue,weekly_margin_base,5.0,83255.79000000001,16833.955765746206,54586.8,55718.502400000005,60245.312000000005,82879.36,88469.32,94774.74999999999,95409.92599999999,95536.9612,95568.72
overhead_balance_total_cost,weekly_margin_base,5.0,73561.68,5131.411182252891,64900.53,65238.001599999996,66587.888,73337.32,74904.69,77257.64,77378.104,77402.1968,77408.22
overhead_balance_profit_margin,weekly_margin_base,5.0,0.09052012536057434,0.16133074742957373,-0.1889418320912748,-0.1767788915854831,-0.1281271295623163,0.1151316805535177,0.1267295826394958,0.190025564850089,0.205729617650853,0.2088704282110058,0.209655630851044
office_wage_overhead,weekly_margin_base,5.0,12780.0,0.0,12780.0,12780.0,12780.0,12780.0,12780.0,12780.0,12780.0,12780.0,12780.0
max_allowance,weekly_margin_base,5.0,12488.3685,2525.0933648619316,8188.019999999999,8357.775359999998,9036.796799999998,12431.904,13270.398,14216.212499999998,14311.4889,14330.54418,14335.308
percent_revenue,weekly_margin_base,5.0,0.16027024628680162,0.0421072173844702,0.1337257629902336,0.1337705741847939,0.13394981896303512,0.1348460428542412,0.1444568580384702,0.1542000324326828,0.2181380345812408,0.2309256350109524,0.2341225351183803
percent_cost,weekly_margin_base,5.0,0.17446321596713127,0.013119245063404932,0.1650987453270466,0.16511161684063225,0.16516310289497477,0.1654205331666874,0.1706168198546713,0.1742632536885721,0.1923860329766576,0.19601058883427472,0.196916727798679
source_row,weekly_margin_base,42.0,36.5,19.1212434538006,6.0,6.41,8.05,20.25,36.5,52.75,64.94999999999999,66.59,67.0
